School_Name,School_Type,Starting_Median_Salary,Mid_Career_Median_Salary,Percentage_increase,Mid_Career_10th_Percentile_Salary,Mid_Career_25th_Percentile_Salary,Mid_Career_75th_Percentile_Salary,Mid_Career_90th_Percentile_Salary
Arizona State University (ASU),State,47400 ,84100 ,0.77 ,44600 ,60700 ,114000 ,163000 
"University of California, Santa Cruz (UCSC)",State,44700 ,84100 ,0.88 ,46100 ,62000 ,121000 ,165000 
"Indiana University (IU), Bloomington",State,46300 ,84000 ,0.81 ,43600 ,60400 ,119000 ,178000 
University of Iowa (UI),State,44700 ,83900 ,0.88 ,43300 ,61100 ,116000 ,163000 
Ohio State University (OSU),State,44900 ,83700 ,0.86 ,45500 ,60700 ,116000 ,162000 
North Carolina State University (NCSU),State,47200 ,83300 ,0.76 ,49200 ,64800 ,112000 ,153000 
Oregon State University (OSU),State,45100 ,83300 ,0.85 ,46900 ,64000 ,113000 ,146000 
University of Utah,State,45400 ,83200 ,0.83 ,43000 ,58400 ,116000 ,148000 
"University of Nevada, Reno (UNR)",State,46500 ,82900 ,0.78 ,41900 ,54600 ,113000 ,143000 
University of Oklahoma,State,44700 ,82900 ,0.85 ,41200 ,60300 ,114000 ,167000 
University of Arkansas,State,44100 ,82800 ,0.88 ,43200 ,60700 ,113000 ,160000 
University of Vermont (UVM),State,44800 ,82700 ,0.85 ,44700 ,58000 ,122000 ,194000 
University of Alabama at Huntsville (UAH),State,43100 ,82700 ,0.92 ,46100 ,67800 ,106000 ,132000 
"California State University, Sacramento (CSUS)",State,47800 ,82400 ,0.72 ,42900 ,59600 ,111000 ,154000 
University of Idaho,State,44900 ,82000 ,0.83 ,43000 ,56700 ,104000 ,142000 
University of Illinois at Chicago,State,47500 ,81700 ,0.72 ,44700 ,58800 ,110000 ,146000 
State University of New York (SUNY) at Buffalo,State,46200 ,81700 ,0.77 ,45900 ,61400 ,110000 ,147000 
University of Kansas,State,42400 ,81600 ,0.92 ,44800 ,57200 ,115000 ,156000 
